,,,,,,,,,,# veces usado,Palabra,# de veces  usado
asistente artificial,50,Medio,40,,asistentes virtuales,,Non-Brands,,,,,
foco inteligente stf,50,Alto,100,smart,,,,,,,,
smart life interruptor,50,Desconocido,,smart,,,,,,,,
wiz foco inteligente,50,Alto,100,,,,Non-Brands,,,,,
foco inteligente merkury,50,Alto,100,,,,,merkury,,,,
foco smart life,50,Alto,100,smart,,,,,,,,
stf foco inteligente,50,Alto,87,smart,,,,,,,,
apagadores con wifi,50,Alto,100,,,,Non-Brands,,,,,
ewelink luz inteligente,50,Desconocido,,,,,,sonoff,,,,
focos led compatibles con alexa,50,Alto,100,,,,Non-Brands,,,,,
interruptor inteligente 3 vias,50,Alto,100,,,,Non-Brands,,,,,
interruptor wifi empotrable,,Desconocido,,,,,Non-Brands,,,,,
moes interruptor wifi manual,50,Alto,100,smart,,,,,,,,
casa conectada de google,50,Bajo,2,,,google,,,,,,
comparativa asistentes de voz,50,Bajo,0,,,google,,,,,,
interruptor de pared inteligente,50,Alto,100,,,,Non-Brands,,,,,
sistema de control de luces para casa,50,Alto,100,,,,Non-Brands,,,,,
la domotica en el hogar,50,Bajo,3,,,,Non-Brands,,,,,
wifi interruptor inteligente,50,Alto,100,,,,Non-Brands,,,,,
interruptor inteligente halux,,Desconocido,,,,,Non-Brands,,,,,
teckin interruptor,,Desconocido,,,,,Non-Brands,,,,,
domótica en casa barata,0,Desconocido,,,,,Non-Brands,,,,,
domotica interruptor luz,50,Desconocido,,,,,Non-Brands,,,,,
xiaomi foco led,50,Alto,100,smart,,xiaomi,,mi,,,,
amazon interruptor inteligente,50,Alto,100,,,amazon,,,,,,
interruptor controlado por wifi,50,Desconocido,,,,,Non-Brands,,,,,
asistente de voz inteligente,50,Alto,98,,,google,,,,,,
empresas de casas inteligentes,50,Medio,55,,,,Non-Brands,,,,,
interruptor inteligente persianas,50,Desconocido,,,,,Non-Brands,,,,,
alexa amazon casa inteligente,50,Alto,86,,,amazon,,,,,,
tp link interruptor inteligente,50,Alto,100,,,,,tp link,,,,
interruptor wifi 2 vias,50,Alto,100,,,,Non-Brands,,,,,
interruptor de luz para alexa,50,Alto,100,,,google,,,,,,
alexa para toda la casa,50,Alto,100,,para echo,,Non-Brands,,,,,
asistente de voz que es,50,Bajo,0,,,,Non-Brands,,,,,
focos led con wifi,50,Alto,100,,,,Non-Brands,,,,,
persiana electrica alexa,50,Alto,100,,,,Non-Brands,,,,,
sistema alexa casa,50,Desconocido,,,,,Non-Brands,,,,,
hue interruptor,50,Alto,100,,,philips,,,,,,
apagadores inteligentes sonoff,50,Alto,100,,,,,sonoff,,,,
interruptor inteligente wifi sin neutro,50,Alto,100,,,,Non-Brands,,,,,
interruptor luz domotica,50,Alto,100,,,,Non-Brands,,,,,
interruptor luz google home,50,Alto,100,,,google,,,,,,
foco sengled alexa,50,Alto,100,smart,,google,,sengled,,,,
comparativa google home y alexa,50,Alto,100,,,google,,,,,,
interruptores tactiles wifi,50,Alto,100,,,,Non-Brands,,,,,
apagadores wifi sonoff,50,Alto,100,,,,,sonoff,,,,
interruptor alexa luz,50,Desconocido,,,,google,,,,,,
interruptor electrico wifi,50,Medio,43,,,,Non-Brands,,,,,
focos inteligentes radioshack,50,Alto,100,,,radioshack,,,,,,
alexa y focos inteligentes,50,Alto,100,,,,Non-Brands,,,,,
interruptor wifi sin neutro amazon,50,Desconocido,,,,amazon,,,,,,
control de persianas wifi,50,Alto,100,,,,Non-Brands,,,,,
apagadores inteligentes sin neutro,500,Alto,100,,,,Non-Brands,,,,,
smart life foco,50,Alto,100,smart,,,,,,,,
sonoff interruptor doble,50,Alto,100,,,,,sonoff,,,,
alexa controla la casa,50,Alto,100,,para echo,,Non-Brands,,,,,
interruptor doble alexa,50,Alto,100,,,,Non-Brands,,,,,
focos para google home mini,50,Alto,100,mini,,google,,,,,,
interruptor inteligente moes,50,Alto,100,smart,,,,,,,,
focos amazon alexa,50,Alto,100,,,amazon,,,,,,
controlador de casa inteligente,50,Alto,100,smart,,,,,,,,
interruptor wifi mini,50,Desconocido,,mini,,,,sonoff,,,,
llave de luz wifi,50,Desconocido,,,,,Non-Brands,,,,,
focos compatibles con homepod,50,Alto,100,,homekit,apple,,,,,,
vivienda domotizada,50,Bajo,0,,,,Non-Brands,,,,,
diferencias google home y alexa,50,Alto,81,,,google,,,,,,
interruptor inteligente advanced home,50,Alto,100,,,,Non-Brands,,,,,
cuantos asistentes de voz existen,50,Bajo,1,,asistentes virtuales,,Non-Brands,,,,,
foco led wiz,50,Alto,100,,,,Non-Brands,,,,,
foco smart led,50,Alto,100,smart,,,,,,,,
interruptor aqara sin neutro,50,Desconocido,,,,xiaomi,,,,,,
nexxt foco smart,50,Alto,100,smart,,,,nexxt,,,,
sonoff interruptor pared,50,Alto,100,,,,,sonoff,,,,
interruptor wifi con enchufe,50,Alto,100,,,,Non-Brands,,,,,
comparar alexa con google home,50,Alto,100,,,google,,,,,,
interruptor persiana inteligente,50,Alto,100,,,,Non-Brands,,,,,
google home interruptor,50,Alto,100,,,google,,,,,,
focos inteligentes compatibles con siri,50,Alto,100,,"siri, homekit",,Non-Brands,,,,,
interruptor inteligente home depot,50,Alto,100,,,home depot,,,,,,
focos philips bluetooth,50,Alto,100,,,philips,,,,,,
focos wifi google home,50,Alto,100,,,google,,,,,,
interruptores touch wifi,50,Alto,100,,,,Non-Brands,,,,,
sonoff wifi mini,50,Desconocido,,mini,,,,sonoff,,,,
google interruptor,50,Alto,100,,,google,,,,,,
interruptor inteligente escalera,50,Alto,100,,,,Non-Brands,,,,,
proyectos de domótica casa inteligente,50,Alto,80,,,,Non-Brands,,,,,
interruptor termomagnético wifi,50,Alto,100,,,,Non-Brands,,,,,
interruptor remoto wifi,50,Alto,100,,,,Non-Brands,,,,,
apagadores de luz wifi,50,Alto,100,,,,Non-Brands,,,,,
focos inteligentes quito,,Desconocido,,,,,Non-Brands,,,,,
focos tp link,50,Alto,100,,,,,tp link,,,,
interruptor wifi moes,50,Alto,100,,,,Non-Brands,,,,,
mini casa inteligente,50,Desconocido,,mini,,,,,,,,
pulsador wifi alexa,50,Desconocido,,,,,Non-Brands,,,,,
alexa casas inteligentes,50,Alto,100,,,,Non-Brands,,,,,
foco inteligente con bocina,50,Alto,100,,,,Non-Brands,,,,,
interruptor inteligente 2 vias,50,Alto,100,,,,Non-Brands,,,,,
foco de luz inteligente,50,Alto,100,,,,Non-Brands,,,,,
foco led exterior wifi,50,Desconocido,,,,,Non-Brands,,,,,
cable neutro interruptor inteligente,50,Alto,100,,,,Non-Brands,,,,,
enchufe wifi sonoff,50,Desconocido,,,,,,sonoff,,,,
focos inteligentes best buy,50,Alto,100,,,best buy,,,,,,
foco que cambia de color steren,50,Alto,100,,,steren,,,,,,
casa inteligente barato,50,Alto,100,,,,Non-Brands,,,,,
focos inteligentes osram,50,Alto,100,,,osram,,,,,,
interruptor persiana wifi sin neutro,,Desconocido,,,,,Non-Brands,,,,,
domotica barata en casa,50,Desconocido,,,,,Non-Brands,,,,,
interruptor inteligente easy,50,Medio,43,,,easy,,,,,,
casas inteligentes con alexa,50,Alto,91,,,,Non-Brands,,,,,
focos geeni,50,Alto,100,,,,,geeni,,,,
google home casa inteligente,50,Alto,100,,,google,,,,,,
interruptor wifi para caja universal,50,Desconocido,,,,,Non-Brands,,,,,
sonoff mini interruptor inteligente,50,Desconocido,,mini,,,,sonoff,,,,
interruptor persiana google home,0,Desconocido,,,,google,,,,,,
meross interruptor wifi,,Desconocido,,,,,Non-Brands,,,,,
interruptor compatible philips hue,50,Alto,100,,,philips,,,,,,
asistente personal inteligente,50,Alto,100,,asistentes virtuales,,Non-Brands,,,,,
automatizar casa con google home,50,Alto,100,,,google,,,,,,
google home focos,50,Alto,100,,,google,,,,,,
apagadores inteligentes precio,50,Alto,100,,,,Non-Brands,,,,,
asistente google amazon,50,Alto,100,,,"google, amazon",,,,,,
los focos inteligentes se funden,50,Alto,100,,,,Non-Brands,,,,,
mini interruptor inteligente,50,Alto,100,mini,,,,sonoff,,,,
que focos son compatibles con alexa,50,Alto,100,,,,Non-Brands,,,,,
interruptor wifi sin neutro alexa,50,Desconocido,,,,google,,,,,,
interruptor wifi barato,50,Desconocido,,,,,Non-Brands,,,,,
mi smart house,50,Desconocido,,smart,,xiaomi,,mi,,,,
foco inteligente sengled,50,Alto,100,,,,,sengled,,,,
smart home interruptor,50,Alto,100,smart,,,,,,,,
sensores para casas inteligentes,50,Alto,95,,,,Non-Brands,,,,,
sistema de iluminacion inteligente para casas,50,Alto,100,,,,Non-Brands,,,,,
interruptor wifi bricomart,,Desconocido,,,,,,bricomart,,,,
precio de apagadores inteligentes,50,Alto,100,,,,Non-Brands,,,,,
foco inteligente xiaomi yeelight,50,Alto,100,,,xiaomi,,,,,,
foco rgb wifi steren,50,Alto,96,,,steren,,,,,,
persianas wifi google home,50,Alto,100,,,google,,,,,,
automatizar tu casa,50,Alto,70,,tu hogar inteligente,,Non-Brands,,,,,
focos inteligentes apple,50,Alto,100,,,apple,,,,,,
lloyds focos wifi,50,Alto,94,,lloyds,,Non-Brands,,,,,
el google home mini es inalambrico,50,Alto,100,mini,,google,,,,,,
focos empotrables inteligentes,50,Alto,100,,,,Non-Brands,,,,,
interruptor teckin,50,Desconocido,,,,google,,,,,,
apagadores para alexa,50,Alto,100,,,google,,,,,,
focos inteligentes sams,50,Alto,100,,,sams,,,,,,
foco inteligente oiosen,50,Alto,100,,,,Non-Brands,,,,,
casa inteligente lg,50,Alto,86,,,,Non-Brands,,,,,
focos controlados por alexa,50,Alto,100,,,,Non-Brands,,,,,
focos echo dot,50,Alto,100,,,amazon,,,,,,
focos inteligentes alexa best buy,50,Desconocido,,,,best buy,,,,,,
alexa para casa inteligente,50,Alto,100,,para echo,,Non-Brands,,,,,
walmart foco inteligente,50,Alto,100,,,walmart,,,,,,
encendedor de luz inteligente,50,Alto,90,smart,,,,,,,,
interruptor inteligente para ventilador,50,Alto,100,,,,Non-Brands,,,,,
foco rgb xiaomi,50,Alto,100,smart,,xiaomi,,,,,,
interruptor wifi sonoff instalación,50,Alto,100,,,,,sonoff,,,,
domotica en casa google home,50,Desconocido,,,,google,,,,,,
interruptor inteligente con enchufe,50,Alto,100,,,,Non-Brands,,,,,
foco hue color,50,Alto,100,,,philips,,,,,,
google home mini descripcion,50,Alto,100,mini,,google,,,,,,
focos led para alexa,50,Alto,100,,,,Non-Brands,,,,,
instalacion casa inteligente,50,Alto,100,,,,Non-Brands,,,,,
home depot apagadores inteligentes,50,Alto,97,,,home depot,,,,,,
foco rgb alexa,50,Alto,100,,,,Non-Brands,,,,,
interruptores de luz compatibles con alexa,50,Desconocido,,,,,Non-Brands,,,,,
automatizar mi casa,50,Alto,100,,,,,mi,,,,
foco wifi rgb,50,Alto,100,,,,Non-Brands,,,,,
smart home easy,50,Bajo,29,smart,,easy,,,,,,
casa inteligente con arduino y android,50,Bajo,9,,,,,arduino,,,,
voz google asistente,50,Alto,89,,,google,,,,,,
mirati home foco,50,Alto,100,,,,Non-Brands,,,,,
interruptor inteligente vta,,Desconocido,,,,,Non-Brands,,,,,
interruptor wifi 4 canales,50,Alto,100,,,,,sonoff,,,,
focos inteligentes homekit,50,Alto,100,,homekit,apple,,,,,,
nexxt focos,50,Alto,100,,,,,nexxt,,,,
apagadores inteligente,5000,Alto,100,,,,Non-Brands,,,,,
foco inteligente 100w,50,Alto,100,,,,Non-Brands,,,,,
sonoff mini enchufe,50,Desconocido,,mini,,,,sonoff,,,,
alexa con foco,50,Alto,100,,,google,,,,,,
living smart home,50,Alto,100,smart,,,,,,,,
sonoff basic interruptor inteligente wifi,50,Alto,100,,,,,sonoff,,,,
apagadores inteligentes lutron,50,Alto,100,,,,,lutron,,,,
enchufe controlado por interruptor,50,Desconocido,,,,,Non-Brands,,,,,
focos apple homekit,50,Alto,100,,homekit,apple,,,,,,
domotica luces casa,50,Alto,100,,,,Non-Brands,,,,,
el mejor foco inteligente,50,Alto,99,,,,Non-Brands,,,,,
foco inteligente sanelec,50,Alto,100,,,,,sanelec,,,,
asistentes de voz para el hogar,50,Alto,100,,,google,,,,,,
emparejar enchufe sonoff,50,Desconocido,,,,,,sonoff,,,,
interruptor wifi para persianas eléctricas,,Desconocido,,,,,Non-Brands,,,,,
sistema domótico para una casa inteligente,50,Desconocido,,,,,Non-Brands,,,,,
focos compatibles con google home mini,50,Alto,100,mini,,google,,,,,,
casa inteligente con google,50,Alto,100,,,google,,,,,,
interruptor tactil inteligente,50,Alto,100,,,,Non-Brands,,,,,
asistente google pon,50,Bajo,0,,,google,,,,,,
focos nexxt solutions,50,Alto,100,,,,,nexxt,,,,
hue focos,500,Alto,100,,,philips,,,,,,
interruptores inteligentes compatibles con alexa,50,Alto,100,,,,Non-Brands,,,,,
asistente de voz para casa,50,Alto,100,,,google,,,,,,
foco led wifi multicolor,50,Alto,100,,,,Non-Brands,,,,,
casa inteligente con siri,50,Alto,100,,siri,"google, apple",,,,,,
focos inteligentes siri,50,Alto,100,,siri,,Non-Brands,,,,,
interruptor para google home,50,Desconocido,,,,google,,,,,,
interruptor de luz con wifi,50,Desconocido,,,,,Non-Brands,,,,,
telefono de casa inteligente,50,Alto,100,,,,Non-Brands,,,,,
foco inteligente colores,50,Alto,100,,,,Non-Brands,,,,,
interruptor wifi regulable,50,Desconocido,,,,,Non-Brands,,,,,
sophia casa inteligente,50,Desconocido,,,,,Non-Brands,,,,,
diferencias entre alexa y siri,50,Alto,100,,siri,google,,,,,,
foco inteligente xiaomi mi smart led bulb essential,50,Alto,100,smart,,xiaomi,,mi,,,,
google home focos inteligentes,50,Alto,100,,,google,,,,,,
inteligente siri,50,Alto,100,,siri,"google, apple",,,,,,
alexa apaga el foco,50,Medio,48,smart,,google,,,,,,
foco rgb inteligente,50,Alto,100,,,,Non-Brands,,,,,
instalacion de casas inteligentes,50,Medio,43,,,,Non-Brands,,,,,
aplicaciones para focos inteligentes,50,Alto,100,,,philips,,,,,,
ewelink ventilador inteligente,50,Alto,100,,,,,sonoff,,,,
interruptor gosund,50,Desconocido,,smart,,,,gosund,,,,
sanelec foco inteligente,50,Alto,100,,,,,sanelec,,,,
focos inteligentes con alexa,50,Alto,100,,,,Non-Brands,,,,,
interruptor de luz wifi inteligente,50,Alto,75,,,,Non-Brands,,,,,
interruptor triple wifi,50,Alto,100,,,,Non-Brands,,,,,
interruptor amazon alexa,50,Desconocido,,,,"google, amazon",,,,,,
interruptor wifi meross,50,Desconocido,,,,,Non-Brands,,,,,
automatizar luces casa,50,Desconocido,,,,,Non-Brands,,,,,
google home es inalambrico,50,Alto,100,,,google,,,,,,
interruptor exterior wifi,50,Desconocido,,,,,Non-Brands,,,,,
interruptor inteligente siri,50,Desconocido,,,siri,google,,,,,,
los mejores interruptores inteligentes,50,Alto,100,,,,Non-Brands,,,,,
cable neutro para interruptor inteligente,50,Alto,100,,,,Non-Brands,,,,,
focos alexa precio,50,Alto,100,smart,,google,,,,,,
interruptor wifi philips,50,Alto,100,,,philips,,,,,,
seguridad de casas inteligentes,50,Alto,95,,,,Non-Brands,,,,,
foco inteligente luz blanca,50,Alto,100,,,,Non-Brands,,,,,
smart house samsung,50,Medio,50,smart,,samsung,,,,,,
foco inteligente tecnolite,50,Alto,100,,,,,tecnolite,,,,
focos inteligentes de colores,50,Alto,100,,,,Non-Brands,,,,,
interruptor broadlink tc2,50,Alto,74,,,,,broadlink,,,,
tecnolite focos inteligentes,50,Alto,100,,,,,tecnolite,,,,
asistente inteligente siri,50,Alto,100,,siri,"google, apple",,,,,,
focos inteligentes alexa precio,50,Alto,100,,,google,,,,,,
comparacion google home y alexa,50,Alto,100,,,google,,,,,,
sistemas inteligentes para el hogar,50,Alto,100,,,,Non-Brands,,,,,
enchufe sonoff s26,50,Desconocido,,,,,,sonoff,,,,
interruptor wifi negro,50,Alto,100,,,,Non-Brands,,,,,
interruptor wifi schneider,50,Alto,100,,,,,schneider,,,,
sengled focos,50,Alto,100,,,,,sengled,,,,
focos para echo dot,50,Alto,100,,para echo,amazon,,,,,,
lg casa inteligente,50,Alto,100,,,,Non-Brands,,,,,
marcas de focos inteligentes,50,Alto,100,,,,Non-Brands,,,,,
google casa conectada,50,Bajo,0,,,google,,,,,,
sonoff enchufe empotrado,50,Desconocido,,,,,,sonoff,,,,
foco exterior wifi,50,Alto,100,,,,Non-Brands,,,,,
foco wifi xiaomi,50,Alto,100,,,xiaomi,,,,,,
interruptor wifi para ventilador,50,Alto,100,,,,Non-Brands,,,,,
ásistente de google,50000,Medio,59,,,google,,,,,,
netzhome foco,50,Alto,100,,,,Non-Brands,,,,,
amazon apagadores inteligentes,50,Alto,100,smart,,amazon,,,,,,
asistente de voz con pantalla,50,Alto,100,,,google,,,,,,
oiosen foco,50,Alto,100,,,,Non-Brands,,,,,
iluminacion inteligente para casa,50,Alto,100,,,,Non-Brands,,,,,
interruptor tactil sonoff,50,Alto,100,,,,,sonoff,,,,
interruptor wifi compatible con alexa,50,Alto,100,,,google,,,,,,
mio smart home,,Desconocido,,smart,,,,mio,,,,
interruptores compatibles con google home,50,Alto,100,,,google,,,,,,
alexa hogar inteligente,50,Alto,69,,,,Non-Brands,,,,,
controlador casa inteligente,50,Alto,100,,,,Non-Brands,,,,,
foco inteligente alexa amazon,50,Alto,100,,,amazon,,,,,,
google domotica casa,50,Desconocido,,,,google,,,,,,
interruptor sonoff fuera de línea,50,Alto,86,,,,,sonoff,,,,
interruptor inteligente exterior,50,Alto,100,,,,Non-Brands,,,,,
tomacorriente sonoff,50,Alto,100,,,,,sonoff,,,,
casa inteligente siri,50,Alto,100,,siri,apple,,,,,,
interruptor inteligente smart wifi,50,Desconocido,,smart,,,,,,,,
amazon interruptor persiana wifi,50,Desconocido,,,,amazon,,,,,,
focos compatibles con philips hue,50,Alto,100,,,philips,,,,,,
focos philips alexa,50,Alto,100,,,philips,,,,,,
sensores casa inteligente,50,Alto,100,,,,Non-Brands,,,,,
sistema alexa para la casa precio,50,Alto,97,,para echo,google,,,,,,
focos de wifi,50,Alto,100,,,,Non-Brands,,,,,
kita19rgbtcw3p,50,Bajo,1,smart,,,,tecnolite,,,,
precio focos inteligentes,50,Alto,100,,,,Non-Brands,,,,,
foco led inteligente xiaomi,50,Alto,93,smart,,xiaomi,,mi,,,,
foco led xiaomi yeelight,50,Alto,100,,,xiaomi,,,,,,
interruptor wifi ewelink,50,Desconocido,,,,,,sonoff,,,,
mi foco led inteligente,50,Alto,100,smart,,xiaomi,,mi,,,,
interruptor wifi pared,50,Desconocido,,,,,Non-Brands,,,,,
persianas inteligentes compatibles con alexa,50,Alto,100,,,,Non-Brands,,,,,
foco wifi mercado libre,50,Alto,100,,,,,mercado libre,,,,
focos inteligentes en home depot,50,Alto,100,,,home depot,,,,,,
lámpara led rgb wifi steren,50,Alto,100,,,steren,,,,,,
diferencias alexa google home,50,Medio,50,,,google,,,,,,
interruptor inteligente alexa sin neutro,50,Alto,100,,,,Non-Brands,,,,,
interruptor wifi escalera,50,Alto,100,,,,Non-Brands,,,,,
casa automatizada con arduino,50,Alto,75,,,,,arduino,,,,
casas domoticas reales,50,Bajo,0,,,,Non-Brands,,,,,
foco led de colores wifi,50,Alto,100,,,,Non-Brands,,,,,
foco led wifi inteligente,50,Desconocido,,,,,Non-Brands,,,,,
apagadores inteligentes mercado libre,50,Alto,96,,,,,mercado libre,,,,
control casa inteligente,50,Alto,100,smart,,,,,,,,
foco led google home,50,Alto,100,,,google,,,,,,
interruptor persiana doble wifi,0,Desconocido,,,,,Non-Brands,,,,,
marcas de interruptores inteligentes,50,Alto,100,,,,Non-Brands,,,,,
apagadores inteligentes bticino,50,Alto,100,,,,,bticino,,,,
lifx foco led inteligente,50,Alto,100,,,,,lifx,,,,
interruptor inteligente wifi moes,50,Desconocido,,smart,,google,,,,,,
productos casa inteligente,50,Alto,100,,,,Non-Brands,,,,,
sonoff luces,50,Desconocido,,,,,,sonoff,,,,
dimmer interruptor inteligente wifi,50,Alto,100,,,,Non-Brands,,,,,
foco steren alexa,50,Alto,98,,,steren,,,,,,
interruptor inteligente meross,50,Alto,100,,,,Non-Brands,,,,,
amazon asistente de google,50,Alto,100,,,"google, amazon",,,,,,
asistente de voz virtual,50,Bajo,3,,asistentes virtuales,,Non-Brands,,,,,
interruptor inteligente philips hue,50,Alto,100,,,philips,,,,,,
llave luz wifi,50,Alto,100,,,,Non-Brands,,,,,
pulsador aqara,50,Desconocido,,,,xiaomi,,,,,,
alexa amazon focos,50,Alto,100,,,amazon,,,,,,
casas sistemas inteligentes,50,Bajo,0,,,,Non-Brands,,,,,
foco oiosen,50,Alto,100,,,,Non-Brands,,,,,
focos inteligentes para casa,50,Alto,89,,,,Non-Brands,,,,,
focos para homepod,50,Alto,100,,,apple,,,,,,
interruptor pulsador wifi,50,Alto,100,,,,Non-Brands,,,,,
foco smart nexxt,50,Alto,100,smart,,,,nexxt,,,,
interruptor con alexa,50,Alto,100,,,google,,,,,,
radioshack foco inteligente,50,Alto,96,,,radioshack,,,,,,
casa inteligente con xiaomi,50,Alto,79,,,xiaomi,,,,,,
interruptor wifi tuya smart,50,Alto,100,smart,,,,,,,,
interruptor de luz por wifi,50,Alto,100,,,,Non-Brands,,,,,
interruptor inalambrico sonoff,50,Alto,100,,,,,sonoff,,,,
casas inteligentes alexa,50,Alto,79,,,,Non-Brands,,,,,
casas inteligentes en venta,50,Desconocido,,,,,Non-Brands,,,,,
foco inteligente hyiear,50,Alto,98,,,,Non-Brands,,,,,
interruptor alexa persiana,50,Desconocido,,,,google,,,,,,
mercado libre focos inteligentes,50,Alto,100,,,,,mercado libre,,,,
sistema de casa inteligente alexa,50,Medio,64,,,,Non-Brands,,,,,
foco inteligente bluetooth,50,Alto,100,,,,Non-Brands,,,,,
interruptor wifi aire acondicionado,50,Alto,100,,,,Non-Brands,,,,,
sengled bluetooth foco,50,Alto,100,,,,,sengled,,,,
set smart home,50,Alto,100,smart,,,,,,,,
